user_id,session_id,archetype,session_start,session_end,n_events,unique_items,unique_categories,n_item_view,n_compare,n_add_to_cart,n_remove_from_cart,n_checkout_start,n_purchase,conversion,total_dwell_time_s,total_gap_time_s,hesitation_index,path_signature
u_000000,s_7_0000011,researcher,2025-12-08T14:18:27.919634Z,2025-12-08T14:19:34.979276Z,2,1,2,0,0,1,0,0,0,0,54.668,12.392,0.01239,add_to_cart->exit
u_000000,s_7_0000012,researcher,2025-12-09T20:47:35.558038Z,2025-12-09T20:49:48.405461Z,8,8,4,4,0,1,0,1,0,0,98.223,34.624,0.00866,category_view->item_view->item_view->item_view->item_view->add_to_cart->checkout_start->exit
u_000000,s_7_0000013,researcher,2025-12-10T03:44:21.839726Z,2025-12-10T03:47:25.191184Z,8,6,6,1,2,1,0,0,1,1,106.773,76.579,0.26914,search->item_view->wishlist->compare->compare->add_to_cart->purchase->exit
u_000000,s_7_0000014,researcher,2025-12-11T07:47:41.541901Z,2025-12-11T07:55:35.233293Z,15,10,6,3,3,2,0,2,0,0,247.135,226.557,0.21687,landing->category_view->category_view->item_view->item_view->item_view->wishlist->compare->compare->compare->add_to_cart->add_to_cart->checkout_start->checkout_start->exit
u_000000,s_7_0000015,researcher,2025-12-11T19:01:41.830021Z,2025-12-11T19:02:28.654339Z,3,3,3,0,2,0,0,0,0,0,20.043,26.781,0.55119,compare->compare->exit
u_000000,s_7_0000016,researcher,2025-12-11T19:12:39.791553Z,2025-12-11T19:13:32.036558Z,3,3,2,1,0,0,0,0,0,0,28.215,24.03,0.01602,category_view->item_view->exit
u_000000,s_7_0000017,researcher,2025-12-14T23:25:08.662170Z,2025-12-14T23:33:25.124747Z,17,17,8,6,1,0,1,0,0,0,273.791,222.672,0.10855,landing->landing->landing->landing->search->search->category_view->category_view->item_view->item_view->item_view->item_view->item_view->item_view->compare->remove_from_cart->exit
u_000000,s_7_0000018,researcher,2025-12-16T11:24:27.856304Z,2025-12-16T11:29:39.855713Z,9,8,5,3,3,0,1,0,0,0,161.714,150.286,0.36673,search->item_view->item_view->item_view->compare->compare->compare->remove_from_cart->exit
u_000000,s_7_0000019,researcher,2025-12-17T19:19:24.729146Z,2025-12-17T19:25:58.428498Z,10,9,6,3,1,2,0,0,0,0,67.753,325.946,0.14519,landing->search->category_view->category_view->item_view->item_view->item_view->compare->add_to_cart->add_to_cart
u_000000,s_7_0000020,researcher,2025-12-18T23:15:21.956899Z,2025-12-18T23:16:23.290478Z,2,2,2,0,0,0,0,0,0,0,51.913,9.421,0.20942,wishlist->exit
u_000000,s_7_0000021,researcher,2025-12-20T06:18:13.409042Z,2025-12-20T06:23:59.178531Z,9,7,7,3,1,1,0,0,0,0,134.803,210.967,0.18021,landing->search->item_view->item_view->item_view->wishlist->compare->add_to_cart->exit
u_000000,s_7_0000022,researcher,2025-12-20T17:48:51.676555Z,2025-12-20T18:06:39.456314Z,26,24,8,10,4,1,1,1,0,0,368.0,699.78,0.21537,search->search->search->category_view->category_view->category_view->category_view->item_view->item_view->item_view->item_view->item_view->item_view->item_view->item_view->item_view->item_view->wishlist->...
u_000000,s_7_0000023,researcher,2025-12-21T21:02:22.604561Z,2025-12-21T21:10:22.133076Z,10,8,7,2,1,0,0,0,0,0,196.762,282.767,0.17655,search->search->search->category_view->category_view->item_view->item_view->wishlist->compare->exit
u_000001,s_7_0000024,decisive,2025-11-28T01:34:16.562157Z,2025-11-28T01:39:20.743069Z,4,4,3,0,0,0,0,1,0,0,31.216,272.965,0.13648,category_view->category_view->checkout_start->exit
u_000001,s_7_0000025,decisive,2025-11-29T22:00:30.216013Z,2025-11-29T22:00:42.539589Z,1,1,1,0,0,0,0,0,0,0,12.324,0.0,0.0,exit
u_000001,s_7_0000026,decisive,2025-11-30T12:47:48.758005Z,2025-11-30T12:52:30.068129Z,9,9,5,5,1,0,0,0,0,0,196.814,84.496,0.10767,landing->category_view->item_view->item_view->item_view->item_view->item_view->compare->exit
u_000001,s_7_0000027,decisive,2025-11-30T13:43:23.289947Z,2025-11-30T13:45:23.896440Z,5,4,4,2,1,0,0,0,0,0,104.054,16.552,0.24662,item_view->item_view->wishlist->compare->exit
u_000001,s_7_0000028,decisive,2025-12-01T23:28:55.897184Z,2025-12-01T23:37:16.733050Z,6,6,4,2,0,1,1,1,0,0,86.929,413.907,0.23797,item_view->item_view->add_to_cart->remove_from_cart->checkout_start->exit
u_000001,s_7_0000029,decisive,2025-12-02T04:05:50.235999Z,2025-12-02T04:14:45.599520Z,14,13,7,4,0,3,1,3,0,0,199.794,335.57,0.0908,landing->search->item_view->item_view->item_view->item_view->add_to_cart->add_to_cart->add_to_cart->remove_from_cart->checkout_start->checkout_start->checkout_start->exit
u_000001,s_7_0000030,decisive,2025-12-02T14:01:27.005938Z,2025-12-02T14:06:35.867060Z,14,12,8,3,1,0,1,0,0,0,204.17,104.691,0.14353,landing->search->category_view->category_view->category_view->category_view->category_view->item_view->item_view->item_view->wishlist->compare->remove_from_cart->exit
u_000001,s_7_0000031,decisive,2025-12-03T03:23:15.316644Z,2025-12-03T03:39:10.290923Z,35,33,8,13,2,5,0,2,1,1,456.756,498.219,0.10847,landing->search->search->category_view->category_view->category_view->category_view->category_view->item_view->item_view->item_view->item_view->item_view->item_view->item_view->item_view->item_view->item_view->...
u_000001,s_7_0000032,decisive,2025-12-03T17:04:40.190704Z,2025-12-03T17:17:52.972322Z,30,29,8,14,2,1,0,1,0,0,323.635,469.146,0.12461,landing->landing->landing->search->search->category_view->category_view->category_view->item_view->item_view->item_view->item_view->item_view->item_view->item_view->item_view->item_view->item_view->...
u_000001,s_7_0000033,decisive,2025-12-04T12:07:24.757296Z,2025-12-04T12:09:40.205188Z,6,6,3,1,0,0,1,0,0,0,82.781,52.666,0.11756,landing->category_view->category_view->item_view->remove_from_cart->exit
u_000001,s_7_0000034,decisive,2025-12-05T11:15:08.661346Z,2025-12-05T11:20:39.994746Z,14,13,7,5,1,0,0,0,0,0,244.419,86.914,0.1267,landing->search->search->category_view->category_view->category_view->item_view->item_view->item_view->item_view->item_view->wishlist->wishlist->compare
u_000001,s_7_0000035,decisive,2025-12-07T14:31:25.966257Z,2025-12-07T14:38:31.258715Z,14,14,8,6,0,2,0,0,0,0,134.109,291.184,0.0416,landing->search->category_view->category_view->category_view->item_view->item_view->item_view->item_view->item_view->item_view->add_to_cart->add_to_cart->exit
u_000001,s_7_0000036,decisive,2025-12-07T17:59:34.986111Z,2025-12-07T18:01:28.842617Z,5,5,3,1,1,0,1,1,0,0,61.676,52.18,0.30087,item_view->compare->remove_from_cart->checkout_start->exit
u_000001,s_7_0000037,decisive,2025-12-08T12:05:26.850935Z,2025-12-08T12:14:08.373587Z,16,14,7,6,3,2,1,1,0,0,217.416,304.107,0.22551,category_view->category_view->item_view->item_view->item_view->item_view->item_view->item_view->compare->compare->compare->add_to_cart->add_to_cart->remove_from_cart->checkout_start->exit
u_000001,s_7_0000038,decisive,2025-12-09T00:58:51.671163Z,2025-12-09T01:01:38.572506Z,8,6,5,3,0,2,0,0,1,1,125.029,41.872,0.01047,category_view->item_view->item_view->item_view->add_to_cart->add_to_cart->purchase->exit
u_000001,s_7_0000039,decisive,2025-12-11T02:04:51.383044Z,2025-12-11T02:05:34.481600Z,3,3,3,0,0,0,1,1,0,0,29.248,13.85,0.20923,remove_from_cart->checkout_start->exit
u_000001,s_7_0000040,decisive,2025-12-11T11:48:50.341509Z,2025-12-11T12:12:45.627627Z,27,26,8,12,1,3,0,4,0,0,510.49,924.796,0.09813,search->search->category_view->category_view->category_view->category_view->category_view->item_view->item_view->item_view->item_view->item_view->item_view->item_view->item_view->item_view->item_view->item_view->...
u_000001,s_7_0000041,decisive,2025-12-15T05:59:48.075480Z,2025-12-15T06:17:06.667564Z,18,16,8,5,2,3,0,1,0,0,225.309,813.284,0.17925,landing->landing->search->category_view->category_view->category_view->item_view->item_view->item_view->item_view->item_view->compare->compare->add_to_cart->add_to_cart->add_to_cart->checkout_start->exit
u_000001,s_7_0000042,decisive,2025-12-15T20:25:39.643710Z,2025-12-15T20:31:21.017334Z,11,10,6,3,1,0,1,2,0,0,160.817,180.557,0.19646,category_view->category_view->item_view->item_view->item_view->wishlist->compare->remove_from_cart->checkout_start->checkout_start->exit
u_000001,s_7_0000043,decisive,2025-12-16T09:33:17.096944Z,2025-12-16T09:36:04.416871Z,7,7,3,4,0,0,0,2,0,0,140.02,27.3,0.0078,item_view->item_view->item_view->item_view->checkout_start->checkout_start->exit
u_000001,s_7_0000044,decisive,2025-12-20T05:41:37.644334Z,2025-12-20T05:47:04.580363Z,12,12,6,3,0,1,1,1,0,0,172.451,154.485,0.07575,category_view->category_view->category_view->category_view->category_view->item_view->item_view->item_view->add_to_cart->remove_from_cart->checkout_start->exit
u_000001,s_7_0000045,decisive,2025-12-20T12:07:15.092804Z,2025-12-20T12:08:49.593648Z,4,4,2,0,0,0,1,1,0,0,76.765,17.735,0.15887,search->remove_from_cart->checkout_start->exit
u_000001,s_7_0000046,decisive,2025-12-20T14:11:45.570614Z,2025-12-20T14:16:55.096495Z,11,11,7,5,0,1,0,2,0,0,162.57,146.956,0.02672,landing->category_view->item_view->item_view->item_view->item_view->item_view->add_to_cart->checkout_start->checkout_start->exit
u_000001,s_7_0000047,decisive,2025-12-22T06:18:30.804548Z,2025-12-22T06:23:36.213569Z,10,9,6,1,2,2,1,1,0,0,238.311,67.098,0.27342,category_view->item_view->wishlist->compare->compare->add_to_cart->add_to_cart->remove_from_cart->checkout_start->exit
u_000001,s_7_0000048,decisive,2025-12-24T11:49:59.287705Z,2025-12-24T11:54:33.832233Z,3,3,3,1,0,0,1,0,0,0,31.607,242.937,0.36196,item_view->remove_from_cart->exit
u_000001,s_7_0000049,decisive,2025-12-25T14:12:33.196309Z,2025-12-25T14:18:05.845604Z,8,8,5,1,0,1,0,1,0,0,231.935,100.714,0.02518,search->category_view->category_view->category_view->item_view->add_to_cart->checkout_start->exit
u_000002,s_7_0000050,browser,2025-11-27T17:41:00.977532Z,2025-11-27T17:41:34.829514Z,3,3,2,1,0,0,0,0,0,0,28.823,5.029,0.00335,category_view->item_view->exit
u_000002,s_7_0000051,browser,2025-11-29T00:58:55.437520Z,2025-11-29T01:09:14.948158Z,7,7,5,2,0,1,0,0,0,0,44.518,574.993,0.22143,landing->landing->search->item_view->item_view->wishlist->add_to_cart
u_000002,s_7_0000052,browser,2025-11-29T20:31:25.981037Z,2025-11-29T20:34:20.271358Z,11,11,6,2,2,1,0,0,0,0,100.916,73.374,0.19516,search->category_view->category_view->category_view->item_view->item_view->wishlist->compare->compare->add_to_cart->exit
u_000002,s_7_0000053,browser,2025-11-30T17:43:33.522870Z,2025-11-30T17:47:30.861863Z,11,11,7,5,1,0,0,0,0,0,122.169,115.17,0.13003,landing->search->search->category_view->item_view->item_view->item_view->item_view->item_view->wishlist->compare
u_000002,s_7_0000054,browser,2025-11-30T18:02:31.411765Z,2025-11-30T18:03:57.798042Z,2,2,1,1,0,0,0,0,0,0,84.304,2.083,0.00208,item_view->exit
u_000002,s_7_0000055,browser,2025-11-30T19:25:51.402050Z,2025-11-30T19:27:32.794890Z,6,4,3,0,1,1,1,0,1,1,71.581,29.811,0.30994,wishlist->compare->add_to_cart->remove_from_cart->purchase->exit
u_000002,s_7_0000056,browser,2025-12-01T00:12:46.696671Z,2025-12-01T00:12:58.139350Z,1,1,1,0,0,0,0,0,0,0,11.443,0.0,0.0,exit
u_000002,s_7_0000057,browser,2025-12-06T10:04:39.536840Z,2025-12-06T10:07:25.220608Z,6,5,4,1,0,0,1,0,0,0,132.317,33.367,0.11112,landing->landing->category_view->category_view->item_view->remove_from_cart
u_000002,s_7_0000058,browser,2025-12-09T20:59:04.705801Z,2025-12-09T21:01:39.479859Z,9,8,4,1,0,2,0,0,0,0,123.16,31.614,0.00703,landing->search->category_view->category_view->category_view->item_view->add_to_cart->add_to_cart->exit
u_000002,s_7_0000059,browser,2025-12-13T03:19:57.482426Z,2025-12-13T03:24:38.865561Z,10,9,6,6,1,0,0,1,0,0,195.17,86.214,0.09724,search->search->item_view->item_view->item_view->item_view->item_view->item_view->compare->checkout_start
u_000002,s_7_0000060,browser,2025-12-15T07:50:22.079799Z,2025-12-15T08:00:38.338549Z,18,17,8,3,4,3,1,2,0,0,390.386,225.873,0.25843,search->category_view->category_view->item_view->item_view->item_view->wishlist->compare->compare->compare->compare->add_to_cart->add_to_cart->add_to_cart->remove_from_cart->checkout_start->checkout_start->exit
u_000002,s_7_0000061,browser,2025-12-16T18:03:20.661412Z,2025-12-16T18:06:00.459843Z,6,6,4,3,0,0,0,0,0,0,89.077,70.722,0.09024,category_view->item_view->item_view->item_view->wishlist->exit
u_000002,s_7_0000062,browser,2025-12-18T19:28:47.878206Z,2025-12-18T19:37:42.513669Z,4,4,3,0,0,1,0,1,0,0,25.479,509.156,0.25458,category_view->add_to_cart->checkout_start->exit
u_000002,s_7_0000063,browser,2025-12-19T04:11:39.410115Z,2025-12-19T04:19:54.704230Z,13,12,8,4,1,1,0,0,0,0,155.723,339.571,0.14455,landing->search->search->search->category_view->item_view->item_view->item_view->item_view->wishlist->compare->add_to_cart->exit
u_000002,s_7_0000064,browser,2025-12-20T12:59:00.657893Z,2025-12-20T13:09:57.912293Z,21,19,8,9,0,2,0,1,1,1,282.88,374.374,0.07375,landing->search->category_view->category_view->category_view->item_view->item_view->item_view->item_view->item_view->item_view->item_view->item_view->item_view->wishlist->wishlist->add_to_cart->add_to_cart->...
u_000002,s_7_0000065,browser,2025-12-23T11:42:01.137492Z,2025-12-23T11:42:49.362845Z,3,2,2,0,0,1,0,0,0,0,43.042,5.184,0.00346,category_view->add_to_cart->exit
u_000002,s_7_0000066,browser,2025-12-24T17:16:23.765896Z,2025-12-24T17:19:02.782068Z,5,5,3,2,0,0,0,0,0,0,51.523,107.494,0.123,search->item_view->item_view->wishlist->exit
u_000003,s_7_0000067,browser,2025-11-26T11:55:11.358635Z,2025-11-26T11:56:09.921163Z,3,2,3,1,0,0,0,0,0,0,55.591,2.971,0.00198,search->item_view->exit
u_000003,s_7_0000068,browser,2025-11-26T17:48:35.830784Z,2025-11-26T17:49:14.451962Z,3,3,2,0,1,0,0,0,1,1,34.296,4.325,0.26955,compare->purchase->exit
u_000003,s_7_0000069,browser,2025-11-29T19:03:45.741890Z,2025-11-29T19:04:43.086184Z,4,4,4,1,0,0,0,0,0,0,43.195,14.15,0.10707,category_view->item_view->wishlist->exit
u_000003,s_7_0000070,browser,2025-11-30T19:44:30.692663Z,2025-11-30T19:55:27.423495Z,20,20,7,10,3,0,0,2,0,0,351.249,305.481,0.15055,landing->search->search->category_view->item_view->item_view->item_view->item_view->item_view->item_view->item_view->item_view->item_view->item_view->compare->compare->compare->checkout_start->...
u_000003,s_7_0000071,browser,2025-12-02T23:34:46.355530Z,2025-12-02T23:37:53.623911Z,10,10,6,2,1,3,2,0,0,0,102.937,84.331,0.21687,search->category_view->item_view->item_view->compare->add_to_cart->add_to_cart->add_to_cart->remove_from_cart->remove_from_cart
u_000003,s_7_0000072,browser,2025-12-06T07:47:38.575101Z,2025-12-06T07:50:04.076185Z,6,6,5,4,0,0,0,0,0,0,94.528,50.973,0.01699,category_view->item_view->item_view->item_view->item_view->exit
u_000003,s_7_0000073,browser,2025-12-07T06:54:58.455686Z,2025-12-07T06:58:39.779266Z,11,11,7,2,2,0,1,0,0,0,107.634,113.69,0.22067,landing->category_view->category_view->category_view->category_view->item_view->item_view->compare->compare->remove_from_cart->exit
u_000003,s_7_0000074,browser,2025-12-08T15:04:31.535231Z,2025-12-08T15:06:03.138654Z,2,1,2,0,0,0,0,0,0,0,89.985,1.618,0.00162,search->exit
u_000003,s_7_0000075,browser,2025-12-09T22:00:34.906184Z,2025-12-09T22:01:46.366649Z,5,4,4,2,0,0,0,1,0,0,57.317,14.144,0.00566,landing->landing->item_view->item_view->checkout_start
u_000003,s_7_0000076,browser,2025-12-10T04:51:34.213867Z,2025-12-10T04:53:54.950318Z,8,7,5,1,1,2,0,1,0,0,66.232,74.504,0.11863,search->category_view->item_view->compare->add_to_cart->add_to_cart->checkout_start->exit
u_000003,s_7_0000077,browser,2025-12-10T05:25:20.636458Z,2025-12-10T05:28:41.481457Z,11,11,7,3,1,0,0,0,0,0,163.495,37.35,0.11588,landing->search->search->search->category_view->item_view->item_view->item_view->wishlist->compare->exit
u_000003,s_7_0000078,browser,2025-12-10T23:53:57.449118Z,2025-12-10T23:56:00.022363Z,7,6,4,3,2,0,0,0,0,0,73.336,49.237,0.29978,item_view->item_view->item_view->wishlist->compare->compare->exit
u_000003,s_7_0000079,browser,2025-12-11T14:49:23.860418Z,2025-12-11T14:56:06.907030Z,15,15,6,4,0,1,2,0,1,1,177.002,226.044,0.13681,landing->search->category_view->category_view->category_view->item_view->item_view->item_view->item_view->wishlist->add_to_cart->remove_from_cart->remove_from_cart->purchase->exit
u_000003,s_7_0000080,browser,2025-12-11T22:26:08.177276Z,2025-12-11T22:26:18.200826Z,1,1,1,0,0,0,0,0,0,0,10.024,0.0,0.0,exit
u_000003,s_7_0000081,browser,2025-12-12T02:18:59.576143Z,2025-12-12T02:22:46.390436Z,8,8,6,4,1,0,2,0,0,0,152.787,74.027,0.26851,item_view->item_view->item_view->item_view->compare->remove_from_cart->remove_from_cart->exit
u_000003,s_7_0000082,browser,2025-12-12T03:01:39.476936Z,2025-12-12T03:04:51.673852Z,9,9,6,0,2,1,1,0,0,0,97.79,94.407,0.30987,search->category_view->category_view->wishlist->compare->compare->add_to_cart->remove_from_cart->exit
u_000003,s_7_0000083,browser,2025-12-14T17:17:39.899112Z,2025-12-14T17:21:42.154537Z,8,6,6,4,0,0,1,0,0,0,84.78,157.475,0.16437,category_view->item_view->item_view->item_view->item_view->wishlist->remove_from_cart->exit
u_000003,s_7_0000084,browser,2025-12-14T19:16:47.174326Z,2025-12-14T19:16:49.555721Z,1,1,1,0,0,0,0,0,0,0,2.381,0.0,0.0,exit
u_000003,s_7_0000085,browser,2025-12-15T11:27:31.543928Z,2025-12-15T11:32:37.220256Z,12,10,7,4,1,1,0,0,0,0,172.742,132.934,0.08882,search->search->search->category_view->category_view->item_view->item_view->item_view->item_view->compare->add_to_cart->exit
u_000003,s_7_0000086,browser,2025-12-15T21:22:25.888586Z,2025-12-15T21:25:06.976182Z,8,7,5,3,0,0,0,0,0,0,127.108,33.98,0.10849,landing->category_view->item_view->item_view->item_view->wishlist->wishlist->exit
u_000003,s_7_0000087,browser,2025-12-16T07:13:26.295260Z,2025-12-16T07:14:54.724357Z,3,3,2,2,0,0,0,0,0,0,18.055,70.374,0.04692,item_view->item_view->exit
u_000003,s_7_0000088,browser,2025-12-17T08:45:28.174984Z,2025-12-17T08:50:44.082231Z,7,6,4,2,1,0,0,1,0,0,72.773,243.135,0.2409,search->item_view->item_view->wishlist->compare->checkout_start->exit
u_000003,s_7_0000089,browser,2025-12-17T23:22:08.764306Z,2025-12-17T23:30:27.491675Z,18,17,7,5,2,0,1,0,1,1,239.392,259.335,0.19548,landing->landing->landing->search->category_view->category_view->item_view->item_view->item_view->item_view->item_view->wishlist->wishlist->compare->compare->remove_from_cart->purchase->exit
u_000003,s_7_0000090,browser,2025-12-18T11:03:27.372828Z,2025-12-18T11:04:58.959468Z,3,3,3,1,0,0,0,0,1,1,65.231,26.355,0.01757,item_view->purchase->exit
u_000003,s_7_0000091,browser,2025-12-18T18:11:16.346431Z,2025-12-18T18:12:46.550051Z,4,4,4,1,0,1,0,0,1,1,70.67,19.533,0.00977,item_view->add_to_cart->purchase->exit
u_000003,s_7_0000092,browser,2025-12-20T08:16:36.554195Z,2025-12-20T08:17:28.929163Z,4,4,3,0,0,0,0,0,1,1,30.807,21.568,0.01078,search->category_view->purchase->exit
u_000003,s_7_0000093,browser,2025-12-22T07:43:53.236137Z,2025-12-22T07:51:05.626390Z,13,12,7,5,0,1,0,0,0,0,164.812,267.579,0.07194,search->category_view->category_view->category_view->category_view->item_view->item_view->item_view->item_view->item_view->wishlist->add_to_cart->exit
u_000003,s_7_0000094,browser,2025-12-23T18:18:27.350586Z,2025-12-23T18:20:33.812082Z,8,7,6,2,1,1,0,1,0,0,94.392,32.07,0.10802,category_view->category_view->item_view->item_view->compare->add_to_cart->checkout_start->exit
u_000003,s_7_0000095,browser,2025-12-24T23:04:46.479571Z,2025-12-24T23:08:12.396821Z,8,8,5,4,0,0,0,1,0,0,107.259,98.658,0.02466,landing->search->item_view->item_view->item_view->item_view->checkout_start->exit
u_000004,s_7_0000096,decisive,2025-11-28T19:03:13.890709Z,2025-11-28T19:08:46.852327Z,10,10,6,3,0,1,0,3,0,0,150.743,182.218,0.03644,search->category_view->item_view->item_view->item_view->add_to_cart->checkout_start->checkout_start->checkout_start->exit
u_000004,s_7_0000097,decisive,2025-11-30T01:27:22.436185Z,2025-11-30T01:28:56.789598Z,5,5,4,1,0,1,0,0,0,0,42.776,51.577,0.02063,search->category_view->category_view->item_view->add_to_cart
u_000004,s_7_0000098,decisive,2025-11-30T15:34:45.741895Z,2025-11-30T15:35:10.305423Z,2,2,1,0,0,0,0,0,1,1,12.645,11.918,0.01192,purchase->exit
u_000004,s_7_0000099,decisive,2025-12-02T23:23:08.139011Z,2025-12-02T23:26:54.917699Z,6,3,5,3,0,0,1,0,0,0,160.336,66.442,0.18881,item_view->item_view->item_view->wishlist->remove_from_cart->exit
u_000004,s_7_0000100,decisive,2025-12-03T04:31:26.831213Z,2025-12-03T04:32:26.640545Z,4,4,4,1,0,0,1,0,0,0,45.416,14.393,0.1572,category_view->item_view->remove_from_cart->exit
u_000004,s_7_0000101,decisive,2025-12-04T01:08:41.858347Z,2025-12-04T01:11:06.145123Z,5,5,3,2,0,0,1,0,0,0,60.425,83.862,0.15354,category_view->item_view->item_view->remove_from_cart->exit
u_000004,s_7_0000102,decisive,2025-12-05T05:16:30.409253Z,2025-12-05T05:20:11.377265Z,3,3,3,1,0,1,0,0,0,0,35.787,185.181,0.12345,item_view->add_to_cart->exit
u_000004,s_7_0000103,decisive,2025-12-05T05:33:43.128412Z,2025-12-05T05:36:09.770489Z,5,4,3,2,0,1,0,0,0,0,57.582,89.061,0.03562,search->item_view->item_view->add_to_cart->exit
u_000004,s_7_0000104,decisive,2025-12-05T18:23:54.540739Z,2025-12-05T18:33:48.042348Z,23,21,7,6,2,1,0,1,0,0,400.602,192.899,0.10373,landing->landing->landing->landing->search->category_view->category_view->category_view->category_view->category_view->category_view->item_view->item_view->item_view->item_view->item_view->item_view->wishlist->...
u_000004,s_7_0000105,decisive,2025-12-06T08:41:39.305037Z,2025-12-06T08:41:42.030799Z,1,1,1,0,0,0,0,0,0,0,2.726,0.0,0.0,exit
u_000004,s_7_0000106,decisive,2025-12-07T00:11:01.813410Z,2025-12-07T00:12:16.940408Z,3,3,3,0,0,0,0,0,1,1,35.249,39.878,0.02659,landing->purchase->exit
u_000004,s_7_0000107,decisive,2025-12-07T01:06:28.493841Z,2025-12-07T01:06:35.679030Z,1,1,1,0,0,0,0,0,0,0,7.185,0.0,0.0,exit
u_000004,s_7_0000108,decisive,2025-12-07T10:38:07.593193Z,2025-12-07T10:40:39.281772Z,5,5,5,0,0,0,1,0,1,1,65.028,86.66,0.15466,landing->category_view->remove_from_cart->purchase->exit
u_000004,s_7_0000109,decisive,2025-12-09T01:05:37.492500Z,2025-12-09T01:09:59.327311Z,14,14,7,8,1,0,0,0,0,0,159.302,102.533,0.07179,landing->search->category_view->category_view->category_view->item_view->item_view->item_view->item_view->item_view->item_view->item_view->item_view->compare
u_000004,s_7_0000110,decisive,2025-12-10T17:21:26.231144Z,2025-12-10T17:28:22.716971Z,15,14,8,1,3,0,4,1,1,1,180.665,235.82,0.37811,search->category_view->category_view->item_view->wishlist->compare->compare->compare->remove_from_cart->remove_from_cart->remove_from_cart->remove_from_cart->checkout_start->purchase->exit
u_000004,s_7_0000111,decisive,2025-12-15T02:18:31.135845Z,2025-12-15T02:19:25.690736Z,3,3,2,0,0,0,0,0,0,0,43.583,10.972,0.00731,search->category_view->exit
u_000004,s_7_0000112,decisive,2025-12-16T17:08:09.546464Z,2025-12-16T17:11:06.407248Z,9,9,7,2,1,1,0,1,0,0,86.513,90.347,0.15341,landing->landing->category_view->item_view->item_view->wishlist->compare->add_to_cart->checkout_start
u_000004,s_7_0000113,decisive,2025-12-17T11:36:31.865922Z,2025-12-17T11:37:57.123516Z,3,3,3,0,0,1,0,0,1,1,30.783,54.475,0.03632,add_to_cart->purchase->exit
u_000004,s_7_0000114,decisive,2025-12-18T04:34:25.476003Z,2025-12-18T04:35:37.888715Z,4,4,3,0,0,2,0,0,0,0,36.006,36.407,0.0182,category_view->add_to_cart->add_to_cart->exit
u_000004,s_7_0000115,decisive,2025-12-20T20:00:50.684005Z,2025-12-20T20:03:55.740541Z,6,6,4,2,0,0,1,1,0,0,105.846,79.211,0.19307,item_view->item_view->wishlist->remove_from_cart->checkout_start->exit
u_000004,s_7_0000116,decisive,2025-12-24T10:54:00.698248Z,2025-12-24T10:54:49.750831Z,3,3,3,0,1,0,0,0,0,0,32.403,16.65,0.27777,search->compare->exit
